Train wBCE,Test wBCE,Train ROC_AUC,Test ROC_AUC,Num. features
8.201435455291568,10.9079235807707,0.9442308654404051,0.8705604618852799,18.8
7.760034421865479,10.815051870708935,0.9487796378262636,0.8749059059378628,22.4
7.855723613497295,10.848049423080369,0.9493168513288668,0.8745994818176905,27.0
7.726406994186216,10.745622389882454,0.9523405428639518,0.8765800435794386,36.8
7.808641414267777,10.726961063036,0.9500657315145737,0.8760288067100277,45.2
7.753258148183856,10.713155691524204,0.9514927373447548,0.8743519595261645,50.4
7.709679085430612,10.676945419625868,0.9511855109169985,0.8744097443793215,52.0
7.7792404748057296,10.69282595957517,0.9511790250342738,0.8744569706091413,52.8
7.755433765781037,10.715793743933693,0.951176778469898,0.8744772147441306,52.8
7.745440659138863,10.700126347019161,0.9511422036001177,0.8745176959874283,53.2
7.814564360219263,10.744573016336764,0.9511277087686455,0.8744775269359655,53.8
7.806085783137064,10.732729396872685,0.9510962370947565,0.8745244478413735,54.6
7.8405624559979925,10.75011105032882,0.9510753132236893,0.8745634010707019,55.0
