Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,random_avg,sonson_avg,caldas_avg,test_avg,geometry,cluster,Municipio
16,-1,5.723253279,-75.55397591,0.21982619,0.327182484,0.54192386,0.187492223,0.204885502,0.276178526,0.228302732,0.306030478,0.315672962,0.182202266,0.436491005,0.380614238,0.431818703,0.520220769,0.47198567,0.296262052,0.261677393,0.448226077,0.335388507,POINT (-75.55397591 5.723253279),0,ABEJORRAL
17,-1,5.705304561,-75.54500155,0.179122116,0.178867299,0.318045229,0.165318143,0.186966082,0.178392114,0.200150752,0.303217366,0.155509618,0.161540867,0.329704531,0.248527913,0.30316127,0.417027213,0.339698523,0.205663774,0.199762143,0.32762389,0.244349936,POINT (-75.54500155 5.705304561),0,ABEJORRAL
18,-1,5.71427892,-75.54500155,0.234952081,0.261462554,0.550775088,0.197979723,0.205770896,0.219618745,0.212000241,0.247485057,0.201495184,0.192124428,0.340099159,0.269509172,0.308121343,0.317017853,0.369584377,0.290188068,0.214544731,0.320866381,0.275199727,POINT (-75.54500155 5.71427892),0,ABEJORRAL
19,-1,5.687355843,-75.53602719,0.257856803,0.261642656,0.618627899,0.25894085,0.269392041,0.322359296,0.360355304,0.376657801,0.316515147,0.362856319,0.376614707,0.355126311,0.366775583,0.572348472,0.355850096,0.33329205,0.347748774,0.405343034,0.362127952,POINT (-75.53602719 5.687355843),0,ABEJORRAL
20,-1,5.741201997,-75.56295027,0.320403801,0.25966655,0.195908284,0.439029589,0.193000814,0.217478667,0.232310657,0.236518728,0.243576709,0.199564324,0.383104542,0.617195675,0.36552657,0.299999512,0.434822532,0.281601808,0.225889817,0.420129766,0.30920713,POINT (-75.56295027 5.741201997),0,ABEJORRAL
21,-1,5.750176356,-75.55397591,0.206364095,0.176389154,0.192373486,0.388076731,0.2121322,0.178519812,0.214351291,0.244279627,0.152588828,0.406705028,0.429833154,0.378564774,0.421438749,0.348020121,0.460540723,0.235067133,0.239288917,0.407679504,0.294011851,POINT (-75.55397591 5.750176356),0,ABEJORRAL
22,-1,5.759150715,-75.55397591,0.257263261,0.268703715,0.318004454,0.220480533,0.261274435,0.374039138,0.244081676,0.338024443,0.20698423,0.487705733,0.478880634,0.422811403,0.45514942,0.412112307,0.491466949,0.26514528,0.330167044,0.452084143,0.349132156,POINT (-75.55397591 5.759150715),0,ABEJORRAL
23,-1,5.768125074,-75.55397591,0.282336593,0.39210924,0.597620771,0.267433741,0.328284665,0.602915201,0.503399402,0.539365087,0.716181092,0.776482055,0.501556746,0.43788943,0.469482088,0.371109203,0.470284369,0.373557002,0.627668568,0.450064367,0.483763312,POINT (-75.55397591 5.768125074),0,ABEJORRAL
24,-1,5.777099433,-75.55397591,0.255754533,0.232924188,0.572207288,0.230613195,0.300758799,0.540478696,0.531790855,0.575947784,0.675421235,0.817810115,0.511225171,0.458235144,0.471561457,0.431942241,0.486961354,0.318451601,0.628289737,0.471985074,0.472908804,POINT (-75.55397591 5.777099433),0,ABEJORRAL
25,-1,5.786073792,-75.55397591,0.21943454,0.180904711,0.239753558,0.187705001,0.25451279,0.415711527,0.406249976,0.410370711,0.394356945,0.672931769,0.404565139,0.293843557,0.356285039,0.533198808,0.401439465,0.21646212,0.459924186,0.397866402,0.358084236,POINT (-75.55397591 5.786073792),0,ABEJORRAL
26,-1,5.795048151,-75.55397591,0.219696827,0.190796928,0.193851054,0.19117508,0.247704842,0.195503953,0.237194433,0.239430914,0.163278607,0.500465137,0.392171405,0.302084941,0.348077365,0.601395801,0.398805923,0.208644946,0.267174609,0.408507087,0.294775547,POINT (-75.55397591 5.795048151),0,ABEJORRAL
27,-1,5.80402251,-75.55397591,0.530038815,0.231780823,0.21632008,0.336766306,0.23559878,0.182128085,0.234184836,0.234091269,0.17135495,0.472091006,0.347653925,0.327315475,0.366291607,0.604470669,0.394430492,0.310100961,0.258770029,0.408032434,0.325634474,POINT (-75.55397591 5.80402251),0,ABEJORRAL
28,-1,5.723253279,-75.54500155,0.239355126,0.19397183,0.537064,0.272752456,0.237263457,0.262450956,0.262331917,0.294876441,0.260586752,0.499225381,0.466824465,0.380768494,0.406529733,0.607436164,0.434293351,0.296081374,0.315894289,0.459170441,0.357048701,POINT (-75.54500155 5.723253279),0,ABEJORRAL
29,-1,5.732227638,-75.54500155,0.240708589,0.205296965,0.21323783,0.241930996,0.245267951,0.217210177,0.236597708,0.322187194,0.210046609,0.419665834,0.403797595,0.335918585,0.377307808,0.57894792,0.405952389,0.229288466,0.281141504,0.42038486,0.31027161,POINT (-75.54500155 5.732227638),0,ABEJORRAL
