Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,geometry,cluster,sonson_avg,Municipio,option
17,-1,5.705304561,-75.54500155,0.139608359,0.331720738,0.14825146,0.149560738,0.155393301,0.207528581,0.16000999,0.120343817,0.161314005,0.232302544,0.491439704,0.136069772,0.126410722,0.125377791,0.145701493,POINT (-75.54500155132787 5.705304561267826),0,0.176299787,ABEJORRAL,sonson_avg
18,-1,5.71427892,-75.54500155,0.151086869,0.411425821,0.172038979,0.186137241,0.282757138,0.187764863,0.153958483,0.132217064,0.155707207,0.15513453,0.546844166,0.202200359,0.17546316,0.307577306,0.20561295,POINT (-75.54500155132787 5.714278920242185),0,0.156956429,ABEJORRAL,sonson_avg
19,-1,5.687355843,-75.53602719,0.239053518,0.367690434,0.290129894,0.257631953,0.248800096,0.469583838,0.180145599,0.160685042,0.335171834,0.191391074,0.722058754,0.381200266,0.510002521,0.632710207,0.417986178,POINT (-75.53602719235352 5.687355843319108),0,0.267395477,ABEJORRAL,sonson_avg
20,-1,5.741201997,-75.56295027,0.155099152,0.44468958,0.166186175,0.165704412,0.151684332,0.144128274,0.200768097,0.134817939,0.169178622,0.15175384,0.519066872,0.173241343,0.455580629,0.152104059,0.292273643,POINT (-75.56295026927658 5.741201997165262),0,0.160129354,ABEJORRAL,sonson_avg
21,-1,5.750176356,-75.55397591,0.156368436,0.486524941,0.248145969,0.171596097,0.152171063,0.325838344,0.176670132,0.170172896,0.509329042,0.14771194,0.162775164,0.140880825,0.209785747,0.145143774,0.43718164,POINT (-75.55397591030223 5.750176356139621),0,0.265944471,ABEJORRAL,sonson_avg
22,-1,5.759150715,-75.55397591,0.269255806,0.580915899,0.604272913,0.282370254,0.246512254,0.411767121,0.180087309,0.453308702,0.507445985,0.381511363,0.293638886,0.279373947,0.447783761,0.290774544,0.624748514,POINT (-75.55397591030223 5.75915071511398),0,0.386824096,ABEJORRAL,sonson_avg
23,-1,5.768125074,-75.55397591,0.315540006,0.425126635,0.388966056,0.340887818,0.6543062,0.671250233,0.664685625,0.694415697,0.702455018,0.664265453,0.37135157,0.37271555,0.693508233,0.372946301,0.687349087,POINT (-75.55397591030223 5.7681250740883385),0,0.679414405,ABEJORRAL,sonson_avg
24,-1,5.777099433,-75.55397591,0.34882912,0.599978903,0.359411195,0.360206939,0.67574927,0.537131119,0.221574254,0.553277973,0.58403358,0.523516253,0.364254761,0.407690589,0.694312844,0.400543853,0.696642676,POINT (-75.55397591030223 5.7770994330626975),0,0.483906636,ABEJORRAL,sonson_avg
25,-1,5.786073792,-75.55397591,0.221771747,0.527093316,0.239778067,0.238101326,0.219209463,0.497667417,0.495606846,0.513291005,0.512333691,0.167698188,0.316091058,0.661507656,0.33642769,0.652406412,0.639672556,POINT (-75.55397591030223 5.786073792037056),0,0.437319429,ABEJORRAL,sonson_avg
26,-1,5.795048151,-75.55397591,0.212553575,0.540675567,0.20773251,0.220048629,0.200192258,0.175709737,0.246585584,0.500080536,0.335297421,0.191608714,0.228057782,0.569411083,0.506581988,0.551969452,0.580590147,POINT (-75.55397591030223 5.795048151011415),0,0.289856398,ABEJORRAL,sonson_avg
27,-1,5.80402251,-75.55397591,0.256912228,0.581911871,0.235929551,0.267253912,0.236032973,0.19359926,0.47836874,0.506001624,0.261155088,0.184064487,0.200588209,0.199241989,0.470957349,0.498594566,0.528187106,POINT (-75.55397591030223 5.804022509985774),0,0.32463784,ABEJORRAL,sonson_avg
28,-1,5.723253279,-75.54500155,0.408122675,0.374227164,0.30117935,0.2424179,0.198468847,0.480157088,0.491617762,0.174787388,0.48927836,0.404062051,0.551499192,0.215314914,0.20683083,0.481451829,0.250673106,POINT (-75.54500155132787 5.723253279216544),0,0.40798053,ABEJORRAL,sonson_avg
29,-1,5.732227638,-75.54500155,0.32739548,0.558219518,0.393563167,0.365792001,0.335291875,0.481896595,0.517117336,0.169015176,0.443854179,0.139909366,0.540104573,0.443324859,0.486407592,0.641470765,0.573513547,POINT (-75.54500155132787 5.732227638190903),0,0.35035853,ABEJORRAL,sonson_avg
30,-1,5.750176356,-75.54500155,0.352224177,0.660466426,0.449106792,0.36763108,0.655354105,0.49136191,0.503199086,0.51731797,0.504018952,0.134860656,0.40407884,0.405051953,0.38592862,0.726486683,0.737546266,POINT (-75.54500155132787 5.750176356139621),0,0.430151715,ABEJORRAL,sonson_avg
31,-1,5.759150715,-75.54500155,0.693087318,0.57087711,0.412612127,0.628092827,0.733158032,0.519312441,0.517442182,0.542686484,0.538593887,0.482787912,0.430506958,0.428621769,0.432889082,0.423371961,0.761608004,POINT (-75.54500155132787 5.75915071511398),0,0.520164581,ABEJORRAL,sonson_avg
32,-1,5.768125074,-75.54500155,0.193686838,0.365792431,0.22693972,0.25623217,0.531785511,0.501643983,0.510551975,0.537850184,0.528473712,0.418986428,0.299008912,0.328443686,0.299861216,0.294753024,0.621923541,POINT (-75.54500155132787 5.7681250740883385),1,0.499501256,ABEJORRAL,sonson_avg
33,-1,5.777099433,-75.54500155,0.274240468,0.621941919,0.298837493,0.304796186,0.480202393,0.522814456,0.53454247,0.522999789,0.539986909,0.284926759,0.338998337,0.664235177,0.567640364,0.644023091,0.652198831,POINT (-75.54500155132787 5.7770994330626975),0,0.481054077,ABEJORRAL,sonson_avg
34,-1,5.786073792,-75.54500155,0.211794772,0.57113506,0.229955594,0.264395645,0.210268832,0.393107065,0.517691457,0.486408119,0.341694175,0.15653841,0.320857091,0.339094741,0.51415933,0.637239755,0.646188111,POINT (-75.54500155132787 5.786073792037056),0,0.379087845,ABEJORRAL,sonson_avg
