LATITUD_Y,LONGITUD_X,mines_outcome,elevation,Vocacion_Agroforestal,Vocacion_Agrícola,Vocacion_Conservación de Suelos,Vocacion_Cuerpo de agua,Vocacion_Forestal,Vocacion_Ganadera,Vocacion_Zonas urbanas,CLIMA_Cuerpo de agua,CLIMA_Cálido húmedo,CLIMA_Cálido húmedo a muy húmedo,CLIMA_Cálido seco,CLIMA_Cálido seco a húmedo,CLIMA_Frío húmedo a muy húmedo,CLIMA_Frío húmedo y frío muy húmedo,CLIMA_Frío muy húmedo,CLIMA_Muy frío y muy húmedo,CLIMA_Templado húmedo a muy húmedo,CLIMA_Zona urbana,TIPO_RELIE_Cuerpo de agua,TIPO_RELIE_Espinazos,TIPO_RELIE_Filas y vigas,TIPO_RELIE_Glacís coluvial y coluvios de remoción,TIPO_RELIE_Glacís y coluvios de remoción,TIPO_RELIE_Lomas y colinas,TIPO_RELIE_Plano de inundación,TIPO_RELIE_Terrazas,TIPO_RELIE_Terrazas y abanicos terrazas,TIPO_RELIE_Vallecitos,TIPO_RELIE_Vallecitos coluvio-aluviales,TIPO_RELIE_Zona urbana,population_2020,rwi,Municipio,geometry,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Secuestro,Tortura,Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Lesiones Personales Fisicas,Lesiones Personales Psicologicas,Confinamiento,SIN INFORMACION ,comimo_dist,airports_dist,seaport_dist,settlement_dist,finance_dist,edu_dist,buildings_dist,railways_dist,waterways_dist,roads_dist,coca_dist,rwi_missing
5.714278920242185,-75.56295026927658,-1,801.2437133789062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.609,ABEJORRAL,POINT (-75.56295026927658 5.714278920242185),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,6.0548704624538745,50.44684847518921,32.009026348468765,4.442615213697097,5.629242010024372,5.683923485935024,7.966267080718976,97.71798819690405,1.2222569863598465,0.9506114674824988,41.10745038372609,0.0
5.732227638190903,-75.56295026927658,-1,784.0833740234375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.3835,ABEJORRAL,POINT (-75.56295026927658 5.732227638190903),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.3676623114970345,48.55114135115969,30.816663653833427,3.8779281996216683,4.889323338117934,4.9545588449204745,7.7911772415908525,97.64416361453335,1.0025332579855097,1.0738664049003868,41.99743119104513,0.0
5.750176356139621,-75.56295026927658,-1,877.4388427734375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.158,ABEJORRAL,POINT (-75.56295026927658 5.750176356139621),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,3.0753824977415762,46.66378255596654,29.71064109768134,4.265958286462846,4.865124456259043,4.975420096082984,7.828148907489833,97.61109579121407,1.7819443387508636,2.4115085883691116,42.96175475903171,0.0
5.75915071511398,-75.56295026927658,-1,831.107177734375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.23540548435660774,ABEJORRAL,POINT (-75.56295026927658 5.75915071511398),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,2.7633605195893653,45.72355702300951,29.19310413506175,3.731052321994087,5.151586587431575,5.152053151331407,7.145102138626927,97.60986060291044,2.595114829430438,1.4144388178080392,43.470263894289516,1.0
5.696330202293467,-75.55397591030223,-1,724.5562133789062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3912053775069709,ABEJORRAL,POINT (-75.55397591030223 5.696330202293467),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,7.600842689522814,52.065078311082274,34.03590470775295,6.265767061399043,7.611335390210046,7.660105466493187,7.717951373493434,96.84179124867784,1.685169485643587,2.266424730785401,39.382388401242224,1.0
5.705304561267826,-75.55397591030223,-1,905.4033813476562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.609,ABEJORRAL,POINT (-75.55397591030223 5.705304561267826),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,6.633350178218463,51.10732056588013,33.40669799144657,5.754842898540905,7.005201057280151,7.058210085859547,7.298905710749645,96.77884907656698,1.2607868386566903,1.2881486566085862,39.78662492898545,0.0
5.714278920242185,-75.55397591030223,-1,778.8851928710938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.609,ABEJORRAL,POINT (-75.55397591030223 5.714278920242185),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,5.67639683936699,50.15112829659457,32.7957884864938,5.340494440675423,6.496528171220118,6.553706162020431,6.998063770335066,96.72616085518733,1.2139967329932773,0.3160011999605282,40.21156712213885,0.0
5.687355843319108,-75.54500155132787,-1,1057.07958984375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.367,ABEJORRAL,POINT (-75.54500155132787 5.687355843319108),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,8.430155631295754,52.76171269000461,35.43768479221462,7.586138587560685,9.01512716063882,9.063342662559661,7.021147340395995,95.92506779988108,1.1403219099903037,1.0509853374646903,38.0798881399968,0.0
5.696330202293467,-75.54500155132787,-1,1079.865966796875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.435,ABEJORRAL,POINT (-75.54500155132787 5.696330202293467),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,7.436697261770925,51.79761566840917,34.80519671074445,6.990708633009404,8.391729060974635,8.44354638596823,6.859277822961884,95.85115153753102,1.1553129161547215,1.4365855835468893,38.471942835381,0.0
5.678381484344749,-75.53602719235352,-1,986.0253295898438,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.367,ABEJORRAL,POINT (-75.53602719235352 5.678381484344749),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,9.39494011738899,53.4863111481724,36.8399356991725,7.029639852216514,10.420006241998996,10.467811124087126,6.015593895256597,95.02032457870746,1.2727985583919004,0.9492394843468321,36.78512184980495,0.0
