,LATITUD_Y,LONGITUD_X,mines_outcome,elevation,Vocacion_Agroforestal,Vocacion_Agrícola,Vocacion_Conservación de Suelos,Vocacion_Cuerpo de agua,Vocacion_Forestal,Vocacion_Ganadera,Vocacion_Zonas urbanas,CLIMA_Cuerpo de agua,CLIMA_Cálido húmedo,CLIMA_Cálido húmedo a muy húmedo,CLIMA_Cálido seco,CLIMA_Cálido seco a húmedo,CLIMA_Frío húmedo a muy húmedo,CLIMA_Frío húmedo y frío muy húmedo,CLIMA_Frío muy húmedo,CLIMA_Muy frío y muy húmedo,CLIMA_Templado húmedo a muy húmedo,CLIMA_Zona urbana,TIPO_RELIE_Cuerpo de agua,TIPO_RELIE_Espinazos,TIPO_RELIE_Filas y vigas,TIPO_RELIE_Glacís coluvial y coluvios de remoción,TIPO_RELIE_Glacís y coluvios de remoción,TIPO_RELIE_Lomas y colinas,TIPO_RELIE_Plano de inundación,TIPO_RELIE_Terrazas,TIPO_RELIE_Terrazas y abanicos terrazas,TIPO_RELIE_Vallecitos,TIPO_RELIE_Vallecitos coluvio-aluviales,TIPO_RELIE_Zona urbana,population_2020,rwi,Municipio,geometry,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Secuestro,Tortura,Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Lesiones Personales Fisicas,Lesiones Personales Psicologicas,Confinamiento,SIN INFORMACION ,comimo_dist,airports_dist,seaport_dist,settlement_dist,finance_dist,edu_dist,buildings_dist,railways_dist,waterways_dist,roads_dist,coca_dist,rwi_missing
0,5.7681250740883385,-75.49115539748173,1,484.6219787597656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.1156666666666666,ABEJORRAL,POINT (-75.49115539748173 5.7681250740883385),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.674188720336968,42.69621870208552,35.86967439916773,3.9441353026906985,13.05082318896857,13.132057177952593,2.984810124165337,89.67688809289061,4.722717530543473,0.4408984271181428,37.52419326659658,0.0
1,5.7770994330626975,-75.49115539748173,1,440.8936767578125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.212,ABEJORRAL,POINT (-75.49115539748173 5.7770994330626975),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.788810888511124,41.71436620514147,35.4951888847759,2.9469714754957166,13.310688967235215,12.661404507589747,2.493693596862685,89.6978794917983,4.903331949223104,0.4244150794090213,38.15767286767447,0.0
2,5.786073792037056,-75.49115539748173,1,555.6859741210938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.463,ABEJORRAL,POINT (-75.49115539748173 5.786073792037056),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.5995521043688585,40.73329381417641,35.1450555567293,1.950564024364323,12.939551537388548,11.886779991340294,1.8804692634423616,89.7299637950883,4.0411288142562665,0.9256063535872804,38.43144679161591,0.0
3,5.7681250740883385,-75.48218103850738,1,471.584716796875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.003,ABEJORRAL,POINT (-75.48218103850738 5.7681250740883385),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,5.66700221012028,42.53213390497893,36.78707465789136,4.099078286626578,14.020045735493024,14.059031854491415,2.905046626689759,88.6841578472203,5.450589684092421,0.109467510283013,36.755916395095255,0.0
4,5.7770994330626975,-75.48218103850738,1,446.6851806640625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.339,ABEJORRAL,POINT (-75.48218103850738 5.7770994330626975),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,5.435296382162034,41.546406549166925,36.42200834098772,3.151326803554213,14.262248160067644,13.290931888552397,3.246526330213715,88.70539995587201,4.537098206461955,0.0399404290099245,37.40242239221884,0.0
5,5.786073792037056,-75.48218103850738,1,371.4424133300781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.4216666666666667,ABEJORRAL,POINT (-75.48218103850738 5.786073792037056),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.438550327900211,40.561274642568605,36.08085536489938,2.247420737117915,13.611364977131268,12.555197511246629,2.80312709787642,88.73785890210699,3.5879482946550496,0.8094232283648102,37.44614690555488,0.0
6,5.795048151011415,-75.48218103850738,1,364.9502258300781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.4216666666666667,ABEJORRAL,POINT (-75.48218103850738 5.795048151011415),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,3.4424748086707626,39.57678265037092,35.764300058867335,1.470564803188857,12.913966581516934,11.857854735424311,2.101402012519318,88.78152238313884,2.674529363158586,1.270416544484109,37.3351011773239,0.0
7,5.7770994330626975,-75.47320667953302,1,370.9036865234375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.339,ABEJORRAL,POINT (-75.47320667953302 5.7770994330626975),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,5.434591869935755,41.40156490789901,37.35221526257376,2.7929494316810697,15.018929736318553,13.962725500456834,3.4099491598287397,87.71292888784068,4.370258719681825,0.4297694431255418,36.60215220983832,0.0
8,5.786073792037056,-75.47320667953302,1,397.3014221191406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.4216666666666667,ABEJORRAL,POINT (-75.47320667953302 5.786073792037056),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,4.437687592191384,40.41290480565755,37.019620770426606,2.511155901391672,14.320530397402829,13.264295144849042,2.434816597470515,87.74577076940432,3.374507033965722,0.1933385799564649,36.46125295120736,0.0
9,5.848894304857569,-75.34756565389203,1,2494.863037109375,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.5529999999999999,ABEJORRAL,POINT (-75.34756565389203 5.848894304857569),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,11.537970574433905,34.079605849819615,49.199905925094285,5.293053335331677,22.22955049509009,14.802111578168024,5.7979672477360245,74.50347680195536,4.037772078436837,0.3933726238394516,22.265645037171076,0.0
10,5.7681250740883385,-75.33859129491768,0,2208.361328125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.3672499999999999,ABEJORRAL,POINT (-75.33859129491768 5.7681250740883385),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,16.42202399026553,43.0484570642291,51.844374030992334,1.53765793417592,21.62952428008574,6.659881086100762,3.807975548595036,72.80096099198431,0.6396155966627282,0.1933768416000129,22.285875682580475,0.0
11,5.7770994330626975,-75.33859129491768,0,2220.341796875,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.296,ABEJORRAL,POINT (-75.33859129491768 5.7770994330626975),4840,4255,43,363,7,5,4626,492,0,13,4,0,22,3,0,0,0,16.057580965285144,42.07481935237661,51.58577003526136,2.3570696552089947,22.207193008678423,7.54266849680644,2.880369269160027,72.8271146155554,0.2023496761851928,0.6216134774685784,22.00880873861644,0.0
